perfume_name,description,image,brand,brandid,gender,product_type,character_x,fragrance_family,size,year,concentration,top_note,middle_note,base_note,language,file_format,image_resolution,similar_perfumes
Burberry Body,"This fragrance is full of femininity and vitality characterized by its pure and upscale composition of rose oil, California orange and black currant, as well as peach and berries, as well as its distinctive aromas of fresh green absintine mixed with sandalwood, as well as creamy vanilla and amber, which brings you back to everything that is natural and authentic.
About the brand:
Founded in 1856, Burberry is a trusted luxury design house, world famous for its accessories, tartan patterns, and sturdy trench coats . Their famous motifs are often copied and imitated across the globe; however, none can match the quality of this staple of British fashion. Their fragrances match many qualities of their apparel: classic, long-lasting, and elegant.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/u/burberry_body_eau_de_parfum_60ml_3.jpg,Burberry,69,Women,Perfume,Glamorous,Fruity,35 ml,2012,Eau de Toilette,"Green Absinthe, Peach, Freesia","Rose Absolute, Iris, Sandalwood","Cashmeran, Vanilla, Amber, Musk",en,png,750x750,"Brands Me Vanilla Musk EDP, Calvin Klein Ck Sheer Beauty, Tous Les Jours Perfume Day 326"
Boucheron Boucheron,"This fragrance with delicious apricot, lemon and mandarin fruits combines with a soft and delicate scent of floral and rose. This woody fragrance adds a fresh and lively feeling that accompanies you for long hours.
About the brand:
Boucheron is a large French family whose founder was Friedrich Boucheron in 1958, the family became famous for making precious and luxurious jewelry and opened the first boutique at Place VendÃƒÂ´me in Paris to offer that jewelry to the public and then invaded the world of parfumes for the first time in 1988 and the first parfume launched in this year is parfume The women's Bushoron, which soon spread to France and abroad",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/o/boucheron_boucheron_edp_100_ml.jpg,Boucheron,63,Women,Perfume,Romantic,Citrus,100 ml,1988,Eau de Parfum,"Cassia, apricot, assaf, tajtus, tangerine, lemon, bergamot, orange, basil","Lydia sprouts, ylang-ylang, iris root, tuberose, jasmine, narcissus, geranium, orange flowers, cedar wood, lily of the valley","Benzoin, musk, sandalwood, amber, vanilla, tonka bean, moss, civet",en,png,750x750,"Hermes Caleche EDP, Giorgio Armani Armani Code Absolu, Tom Ford Sole Di Positano"
Xerjoff Casamorati 1888 Dolce Amalfi EDP,"A distinctive fragrance for men and women is made in France.
The fragrance has launched an amazing perfume blend of unique natural ingredients.
Feel fresh and excited with this long-lasting fragrance.
Enjoy the happiness and vitality that this perfect and fabulous fragrance makes you feel in all of your occasions.
This fragrance is a perfect addition to your perfume set.
About the brand:
Atelier Cologne is a part of Lâ€™OrÃ©al Luxe. Christophe Cervasel and Sylvie Ganter out of their passion for perfumes and fragrances created a new olfactive family. Now Atelier Cologne has a wide collection of elegant and classy perfumes.","https://m.media-amazon.com/images/I/51j6JXpqchL._UF1000,1000_QL80_.jpg",Atelier Cologne,38,Unisex,Perfume,Dynamic,Citrus,100 ml,2015,Eau de Cologne,"Pink Grapefruit, Mandarin Calabrian, Blackcurrant","Peony, Rose",Beeswax,en,jpg,1000x1000,"Stella McCartney Stella, Thierry Mugler Angel Nova Set - EDP 50 ml + EDP Mini 5 ml, Uniqo Corallo EDP - 100 ml"
Givenchy L'interdit Solid Perfume,"Feel the elegance and charm with this feminine fragrance. A tribute fragrance to the bold femininity, with bergamot notes, followed by a heart of Orange Blossom, Jasmine and Tuberose, while the base has notes of Vetiver, Patchouli, and Vanilla, which provides you a long-lasting freshness. Enjoy the thrill of the mysterious femininity.
About the brand:
Givenchy house was founded in 1952 by the designer Hubert de Givenchy and Jaani Robert Durfy . Givenchy produces clothing, accessories, perfumes and cosmetics. It is owned by luxury corporation LVMH. Givenchy is considered the first high fashion designer to create a luxury clothing line for women.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/2/3274872407954_givenchy_l_interdit_edp_concrete_women_1.jpg,Givenchy,146,Women,Perfume,Sophisticated,Woody Oriental,3.3 g,2018,Eau de Parfum,Bergamot,"Orange Blossom, Jasmine, Tuberose","Vetiver, Patchouli, Ambroxan, Vanilla",en,png,750x750,"Hermes Twilly D'Hermes Charming Twilly Limited Edition, Stephane Humbert Lucas 777 Une Nuit a Doha EDP, Al Dakheel Oud AL-Abaya EDP"
Saint Hilaire Iris Absolu EDP,"A unique aromatic blend specially designed for men with refined taste.
The fragrance was launched in the year 2020 with an unparalleled aromatic composition of the finest carefully selected natural ingredients.
The fragrance starts with the exciting scent of cardamom that gives you an attractive appearance.
And at the heart is a blend of wonderful cedar and lavender.
The fragrance is based on a luxurious base of vetiver and caraway.
About the brand:
Saint Hilaire is a famous French brand, which has designed many wonderful perfumes that are characterized by perfect and unique scents. They use the finest natural materials in the perfume industry.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3760004321347-saint-hilaire-saint-hilaire-iris-absolu-_u_-edp-100-ml.png,Saint Hilaire,320,Men,Perfume,Romantic,Aromatic,100 ml,2020,Eau de Parfum,Cardamo,"Rice, Lavender","Vetiver, Caraway",en,png,750x750,"Hugo Boss Hugo Iced, Uniqo Corallo EDP - 100 ml, Hermes Terre D'Hermes Eau Intense Ve'Tver"
Bentley Infinite Intense,"Become an unstoppable force when you splash on Bentley Infinite Intense, an invigorating menÃ¢â‚¬â„¢s cologne. This sensual blend of spicy and earthy accords is a masterful accent to any ensemble, whether casual or refined. Top notes of black pepper, delicate lavender, soothing violet, and geranium work together to form a balanced mix of intensity and relaxation, while heart notes of elemi resin, salty ambergris, benzoin, and exotic nutmeg bring their bold aromas. Finally, base notes of Haitian vetiver, patchouli extract, Moroccan cedar, and other various wood accents blend seamlessly for a robust and mysterious fragrance youÃ¢â‚¬â„¢ll be proud to sport, day or night.
About the brand:
For a century, Bentley Motors has been manufacturing luxury cars that combine excellence, expertise, tradition and modernity. The Bentley Fragrances perfume collection draws its inspiration from this prestigious world, sharing the same vision of style in which authenticity, elegance and refinement are pushed to their extremes. Since its launch in 2013, Bentley Fragrances has been met with remarkable success in the Middle East, Europe, the Americas and Asia. Its olfactive signature, made up of premium ingredients, has inspired the most seasoned perfume lovers across the world.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/e/bentley_infinite_intense_edp_100_ml.jpg,Bentley,55,Men,Perfume,Romantic,Oriental,100 ml,2015,Eau de Parfum,"Black Pepper, Lavender, Violet Leaf Absolute, Geranium Bourbon","Nutmeg, Elemi, Slam Benzoin, Ambergris Accord","Patchouli, Vetiver from Haiti, Moss, Moroccan Cedarwood",en,png,750x750,"Lalique L'Insoumis, Mont Blanc Emblem Absolu, Hermes Terre D'Hermes"
Tous Les Jours Perfume Day 370,"Tous Les Jours Perfume Day 370 has gone so far and includes the rarest and most expensive woods in the world in its notes. The intoxicating yet divisive oud aroma has been determined to make the scent linger longer. Not only this, but its breath-taking blend with Incense has also recalled the sweet oriental memories. Amber and Musk revolve off the end in a rich, earthy, and warm mixture to leave a final memory of the sweet seduction.
About the brand:
Tous Les Jours is a Saudi brand that offers a wide variety of perfumes under the slogan of brands for every day perfume, and it takes into account the different material capabilities of customers, while maintaining the characteristics of quality and stability in its products, especially With the quality of the fragrance and the shape of the package. As it uses the finest oils imported from the best French and Swiss sources. The marketing department manages more than 244 points of sale throughout the Kingdom of Saudi Arabia alone, and the number increases to new sites and more in new countries every year.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/2000370-tous-les-jours-tous-les-jours-perfume-day-370-1.png,Tous Les Jours,356,Unisex,Perfume,Natural,Citrus,55 ml,2017,Eau de Parfum,"Incense, Oud, Amber, and Musk.",,,en,png,750x750,"Wadi Halfa Square Wooden Incense Burner - Decorated With Crystals, Batalat Mubkhara Smart, Batalat Moroccan Normal Oud - 28 g"
Bvlgari Le Gemme Gyan,"This fragrance is inspired by the deeply red Garnet from Bosphorus that combines with rose and Incense. This fragrance creates a powerful masculine sense that captures all hearts.
About the brand:
Bvlgari is an ancient Italian parfume house founded by Sotrios Voulgary in Italy in 1884 and has replaced the letter ""U"" with the letter ""V"" in the name of the company following the old Latin language which is the language of his native country Greece, and opened the first outlet for parfumes produced in 1905 in Via de Condotti Here he presented a collection of the most luxurious and elegant men and women parfumes, and soon became famous and opened sales outlets in the international markets in New York, Geneva and others around the world.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_bvlgari_perfumes_le_gemme_gyan_edp_100_ml_for_men_783320521027.jpg,Bvlgari,70,Men,Perfume,Romantic,Soft Oriental,100 ml,2016,Eau de Parfum,Incense,Patchouli,Jasmine sambak,en,png,750x750,"Juliette Has A Gun Musc Invisible EDP, Gucci Bloom Gocce di Fiori, Thameen Fragrance The Cora Essentials Set (EDP 50ml + Hair Fragrance 50 ml + Body Lotion 100ml)"
Chopard Happy Spirit Forever,"This soft oriental fragrance is rich in fresh and natural floral that leaves refreshing and vitality feelings which surrounds you all day to enjoy the comfort and pleasant scent of delicate Jasmin and delicious orange.
About the brand:
Chopard is emblematic of a natural, positive and responsible parfumery, Chopard places nature, ethics and luxury naturals at the very heart of its fragrance universe. Created by world-class parfumers and crafted from the highest quality ingredients and the most treasured naturals, responsibly sourced from across the world.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_happy_spirit_forever_eau_de_parfum.jpg,Chopard,87,Women,Perfume,Romantic,Soft Oriental,100 ml,2017,Eau de Parfum,"Pink Pepper, Yellow Mandarin","Orange Blossom, Rosemary, Jasmine","Amber, Patchouli",en,png,750x750,"Tous Les Jours Perfume Day 113, Chopard Enchanted Midnight Spell, Elie Saab Le Parfum In White"
Gucci Bloom Gocce di Fiori,"Gucci Bloom Gocce di Fiori perfume expresses the vitality of spring. Its soft and ethereal scent will capture your attention from the first time you use it. It contains special highly concentrated ingredients like jasmine bud extract, natural tuberose absolute, and Rangoon creeper to offer you a long-lasting seductive feminine fragrance.
About the brand:
Gucci is a renowned Italian luxury brand of fashion and leather goods. From producing and selling luxury outerwear, leather bags, cashmere scarves and cosmetics products to releasing incredible fragrance ranges every now and then, Gucci has stayed on the top of the perfume market around the world.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614225307034-gucci-bloom-gocce-di-fiori-_w_-edt-100-ml-1.jpg,Gucci,150,Women,Perfume,Feminine,Floral,100 ml,2019,Eau de Toilette,Jasmine bud,Tuberose,Rangoon creeper,en,png,750x750,"Gucci Bloom Ambrosia di Fiori, Hermes Le Jardin De Monsier Li EDT, Bvlgari Le Gemme Gyan"
Gucci Bloom Ambrosia di Fiori,"This floral fragrance is inspired by the freedom of being who you really are. It invites you to celebrate your true self and the emotions you feel. It features new ingredients like the rare velvety orris as well as Damascena rose, which gives the powerful rendition of the flower
About the brand:
Gucci is reinventing a modern approach to fashion, with products that are eclectic, contemporary and romantic, representing the pinnacle of Italian craftsmanship and are unsurpassed for their attention to detail and quality.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614228958691_gucci_bloom_ambrosia_di_fiori_edp_100_ml_1.jpg,Gucci,150,Women,Perfume,Feminine,Floral Oriental,100 ml,2019,Eau de Parfum,"Jasmine Bud, Rangoon Creeper",Indian Tuberose,"Tuscan Orris, Damask Rose",en,png,750x750,"Gucci Bloom Gocce di Fiori, Thierry Mugler Angel Nova Set - EDP 50 ml + EDP Mini 5 ml, Vertus Night Dose EDP"
Les Eaux Primordiales Superfluide Ambre EDP,"A perfect fragrance for both men and women.
Like the aroma of apple pie, cinnamon, and gingerbread, notes of amber, spice and honey add warmth to this moment.
The harmony of rum and tobacco imparts a sweet flavor to the fragrance.
This attractive combination will captivate you and become your favorite companion at all times.
About the brand:
Les Eaux Primordiales is a French niche perfume brand built on the foundations of the traditional ""Great Perfumery"". Founded by Arnaud Poulain, a young perfumer who worked for several years in the perfumery sector and in collaboration with AmÃ©lie Bourgeois. Its mission is to offer timeless, innovative fragrances that redefine contemporary classics with the use and reinvention of sometimes forgotten olfactory families. Arnaud's inspirations are related to his personal interests: from contemporary art, music, fashion, literature, and even popular culture. Les Eaux Primordiales has 20 fragrances in its encyclopedia. Its fragrances are created in collaboration with the most skilled perfumers.",https://www.leseauxprimordiales.com/cdn/shop/products/superfluide_ambre_100ml_eau_de_parfum_les_eaux_primordiales_2.jpg?v=1674305820,Les Eaux Primordiales,218,Unisex,Perfume,Charismatic,Oriental,100 ml,2019,Eau de Parfum,"Cinnamon, Honey, Orange, Apple, Sesame, Bergamot","Roses, Oud","Ambroxan, Cedar, Oak Moss, Tobacco, Labdanum, Smoke, Guaiac, Oak, Patchouli.",en,jpg,1024x1024,"Davidoff Cool Water, Stphane Humbert Lucas 777 Isra & Miraj EDP, Rasasi Al Wisam Day"
Roja Lily EDP,"Achieve your dream of elegance and sensual charming femininity.
A delicate soft floral composition that spreads beauty and excitement in your heart.
Don't hesitate to get a special place among everyone there, as the fragrance spreads around.
The notes of ylang-ylang and lemon reveal the enthusiastic character in your character to explore the life around.
About the brand:
Roja is renowned for working with only the finest quality materials: from Rose de Mai, Jasmine de Grasse, and natural Ambergris, all costing considerably more than pure gold, through to handmade, silk-lined boxes, and bespoke crystal-encrusted, 24-carat gold coated caps, and candles with their fine fragrance-grade oils mixed with the finest wax and painstakingly poured by hand. Everything is made without compromise. Each scent is made in England, and Roja Parfums is a true testament to the beauty of British perfumery.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/0/5060399675475-roja-parfums-roja-lily-_w_-parfum-50-ml_1.png,Roja,315,Women,Perfume,Romantic,Floral,50 ml,2014,Eau de Parfum,"Lemon, Bergamot","Carnation blossom, Rose, Carnation, Jasmine, Ylang-ylang, lily, Tiare rose","Woods, Musk, Vanilla",en,png,750x750,"Vertus Oriental Rose EDP, Tous Les Jours Perfume Day 45, Al Dakheel Oud Tiffany Tag EDP"
Thierry Mugler A Men Pure Malt,"This wonderful woody perfume was created in 2009 in honour of traditional Scottish whiskey and its smoky, woody, spicy aromas. It is designed with a surprising composition, which makes this fragrance elegant and sophisticated. The fragrance is a reinterpretation of the original man with his attraction.
About the brand:
Mugler offers everyone a range of perfumes and skincare products. This brand combines both old and new technologies, with the belief that traditional expertise can be transcended into contemporary creations.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3439600600797-thierry-mugler-thierry-mugler-a-men-pure-malt-_m_-edt-100-ml.jpg,Thierry Mugler,349,Men,Perfume,Feminine,Soft Floral,100 ml,2018,Eau de Toilette,tobacco and white honey,"patchouli, vanilla,","labdanum, amber, and styrax",en,png,750x750,"Hermes L'Ambre des Merveilles Calligraphie, Van Cleef & Arpels Bois D'Iris, Giorgio Beverly Hills Gior Gio"
Lorenzo Villoresi Firenze Teint De Neige EDT,"It's a delicately aromatic scent for both men and women that reminds of memories with its images, lights and atmosphere. Its rich extracts and precious notes of Ylang-Ylang, heliotrope and musk will envelop you with an intense smell that you cannot resist.
About the brand:
Lorenzo Villoresi is a leading Italian brand that was named after its owner. Villoresi's study and travel in the Middle East greatly influenced his work and some of his most important fragrances, which made it best known for custom-made fragrances.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8028544100996-lorenzo-villoresi-firenze-teint-de-neige-eau-de-toilette-100-ml.png,Lorenzo Villoresi Firenze,226,Women,Perfume,Romantic,Floral,100 ml,2000,Eau de Toilette,"Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes","Tonka bean, Jasmin, Rose, sweet, powdery, floral notes","Heliotrope, Musk, Rose, Jasmin, sweet, powdery, floral notes",en,png,750x750,"Dolce & Gabbana The One Mysterious Night, Exuma Parfums Acqua Intense Man EDP, Jimmy Choo I Want Oud EDP"
Davidoff Hot Water,"This oriental highly masculine fragrance is bold and thrilling. The top notes feature basil blended with wormwood, flowing into the heart that contains paprika and patchouli. The base has notes of benzoin and styrax, making it a perfect scent for your evening events.
About the brand
Davidoff has received acclaim since it introduced its first fragrance in 1988. The brand was founded in Switzerland and has been known for luxurious accessories like watches and leather goods. It offered popular fragrances for men and women.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_davidoff_perfumes_hot_water_men_eau_de_toilette.jpg,Davidoff,101,Men,Perfume,Romantic,Oriental,110 ml,2009,Eau de Toilette,"Basil, Wormwood","Patchouli, Paprika","Benzoin, Styrax",en,png,750x750,"Thierry Mugler Angel Nova Set - EDP 50 ml + EDP Mini 5 ml, Atelier Cologne Rose Anonyme Extrait, Jo Malone Jasmine Sambac & Marigold Intense EDC"
Lancme La Vie Est Belle L'Eau de Parfum Intense,"This floral fruity fragrance is intense and deep. The feminine composition spread happiness everywhere you go. It combines refreshing notes of bergamot, tuberose, the flower of sensuality, and tonka, which embodies the beauty of life.
About the brand:
Lancome was founded in 1935 by Guillaume d'Ornano and his business partner Armand Petitjean in France. It became a part of L'OrÃƒÂ©al in 1964 It offers skincare, fragrances, and makeup. Its products are known for its high quality.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272992054-lancome-lveb-new-edp-intense-v100ml-1.jpg,Lancome,211,Women,Perfume,Sensual,Floral Oriental,100 ml,2020,Eau de Parfum,"Bergamot, orange, pear, pink pepper, blackcurrant buds","Orange Flower, Jasmine Sambac, Tuberose, Hazelnut accord.","Iris, Tonka, Patchouli, Gourmand Accord",en,png,750x750,"Tous Les Jours Perfume Day 110, Thameen Fragrance The Cora Essentials Set (EDP 50ml + Hair Fragrance 50 ml + Body Lotion 100ml), Juliette Has A Gun Musc Invisible EDP"
